#
#
# US Geological Survey
# retrieved: 2019-04-03 21:19:48 EDT
# URL: https://nwis.waterdata.usgs.gov/pr/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in Puerto Rico.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  nat_aqfr_cd     -- National aquifer code
#  aqfr_cd         -- Local aquifer code
#  well_depth_va   -- Well depth
#  hole_depth_va   -- Hole depth
#  qw_begin_date   -- Water-quality data begin date
#  qw_end_date     -- Water-quality data end date
#  qw_count_nu     -- Water-quality data count
#  gw_begin_date   -- Field water-level measurements begin date
#  gw_end_date     -- Field water-level measurements end date
#  gw_count_nu     -- Field water-level measurements count
#
#
# query started 2019-04-03 21:19:48 EDT
#
# there are 338 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd	nat_aqfr_cd	aqfr_cd	well_depth_va	hole_depth_va	qw_begin_date	qw_end_date	qw_count_nu	gw_begin_date	gw_end_date	gw_count_nu
USGS	175717066144600	PIEZOMETER RIPARIAN 2, SALINAS, PR	17.95282817	-66.24563980	5	NAD83	 5.08	0.1	NGVD29	21010004			10.0	10.0	--	--	0	2010-04-29	2010-04-29	1
USGS	175718066144900	PIEZOMETER RIPARIAN 8, SALINAS, PR	17.95316149	-66.24647310	5	NAD83	 5.41	0.1	NGVD29	21010004			10.0	10.0	--	--	0	2010-04-29	2010-04-29	1
USGS	175721066151400	PIEZOMETER JBNERR WEST 1 SALINAS, PR	17.95391145	-66.25341769	5	NAD83	 6.9	1.6	NGVD29	21010004	N300STHCST	110SCPL	87	100	2007-05-16	2015-01-28	5	2005-11-18	2019-01-15	120
USGS	175721066151401	PIEZOMETER JBNERR WEST 2 SALINAS, PR	17.95390590	-66.25341210	5	NAD83	 6.9	1.6	NGVD29	21010004	N300STHCST	110SCPL	20	20	2007-05-16	2007-05-16	1	2005-11-18	2019-03-19	119
USGS	175722066132000	AFAC 1 WELL, SALINAS, PR	17.95413370	-66.22183390	S	NAD83	 8.0	2.5	NGVD29	21010004				70.0	--	--	0	1960-10-18	1968-02-07	9
USGS	175722066151900	PIEZOMETER USGS J-11, SALINAS, PR	17.95413367	-66.25488990	S	NAD83	 6.0	1.0	NGVD29	21010004			103.0	108.0	--	--	0	1966-06-09	1966-06-09	1
USGS	175727066145800	PIEZOMETER PRSW12, SALINAS, PR	17.95555027	-66.24916760	5	NAD83	 9.97	0.1	NGVD29	21010004			21.0	21.0	--	--	0	2010-04-29	2010-04-29	1
USGS	175729066131700	BATEY 1 BTR WELL, SALINAS, PR	17.95607808	-66.22100060	S	NAD83	 8.0	2.5	NGVD29	21010004										
USGS	175729066154400	PIEZOMETER USGS J-13, SALINAS, PR	17.95607803	-66.26183448	S	NAD83	 15.0	3.0	NGVD29	21010004			101.0	122.0	--	--	0	1966-07-14	1966-07-14	1
USGS	175729066160500	MON 1 WELL, SALINAS, PR	17.95607803	-66.26766790	S	NAD83	 16.0	  3	NGVD29	21010004				200.0	--	--	0	1985-10-21	1985-10-21	1
USGS	175729066160601	MON 2 WELL, SALINAS, PR	17.95663356	-66.26766790	S	NAD83	 16	  3	NGVD29	21010004					1986-03-20	1986-08-08	4	1985-10-21	1985-10-21	1
USGS	175735066151800	PIEZOMETER C RASA, SALINAS, PR	17.95774460	-66.25461220	5	NAD83	 14.8	1.6	NGVD29	21010004	N300STHCST	110SCPL	82.00	104.00	1986-03-20	2008-04-16	9	1985-08-29	2009-03-04	150
USGS	175739066144700	PIEZOMETER PRCO8, SALINAS, PR	17.95874458	-66.24588980	5	NAD83	 16.80	0.1	NGVD29	21010004			23.0	23.0	--	--	0	2010-04-29	2010-04-29	1
USGS	175739066162700	PIEZOMETER USGS J-17, SALINAS, PR	17.95885569	-66.27377909	S	NAD83	 10.0	1.0	NGVD29	21010004			121.0	152.0	1966-07-14	1966-07-14	1	1966-07-14	1966-07-14	1
USGS	175740066134400	MCOL WELL, SALINAS, PR	17.95927237	-66.22858400	5	NAD83	 75.47	7.5	NGVD29	21010004										
USGS	175747066151500	DOM ESPERANZA WELL, SALINAS, PR	17.96121669	-66.25388990	5	NAD83	 22.28	1.6	NGVD29						--	--	0	2015-10-07	2015-10-07	1
USGS	175748066132600	MONTE SORIA 1 BTR WELL, SALINAS, PR	17.96135560	-66.22350060	S	NAD83	 10.0	0.5	NGVD29	21010004										
USGS	175748066145800	PIEZOMETER USGS 11, SALINAS, PR	17.96135557	-66.24905650	S	NAD83	 10.0	0.5	NGVD29	21010004			165.0	185.0	1966-07-14	1966-07-14	1	1966-06-09	1968-02-08	3
USGS	175748066155800	SALICHE BTR WELL, SALINAS, PR	17.96135557	-66.26572340	S	NAD83	 28.0	3.0	NGVD29	21010004			65.0	92.0						
USGS	175748066160400	SAL 1 WELL, SALINAS, PR	17.96135558	-66.26794567	5	NAD83	 25.37	1.6	NGVD29	21010004	N300STHCST	110SCPL	162.0	162.0	1960-10-18	2011-06-30	14	1946-10	2015-10-07	12
USGS	175748066161200	PIEZOMETER SALICHE 1, SALINAS, PR	17.96135558	-66.26961240	S	NAD83	 23.0	3.0	NGVD29	21010004										
USGS	175750066152000	PIEZOMETER USGS J-12, SALINAS, PR	17.96191110	-66.25600100	S	NAD83	 23	3	NGVD29	21010004			103.0	108.0	1967-04-19	1987-03-16	2	1966-06-09	1966-06-09	1
USGS	175750066180100	GON 1 WELL, SALINAS PR	17.96191112	-66.29989060	S	NAD83	 3.0	1.0	NGVD29	21010004			70.0	95.0	1960-12-07	1960-12-07	1	--	--	0
USGS	175754066144500	VIEJA T-1 WELL, SALINAS, PR	17.96302217	-66.24544540	S	NAD83	 20.0	0.5	NGVD29	21010004			113.0	115.0						
USGS	175754066172000	MVAZ WELL, SALINAS, P.R.	17.96327217	-66.28864040	5	NAD83	 1.18	.12	NGVD29	21010004										
USGS	175755066143000	VIEJA T-3 WELL, SALINAS, PR	17.96329994	-66.24127860	S	NAD83	 36.0	0.5	NGVD29	21010004			81.90	94.0						
USGS	175756066145200	PIEZOMETER PRNWI, SALINAS, PR	17.96368880	-66.24750090	5	NAD83	 26.64	0.1	NGVD29	21010004			29.0	29.0	--	--	0	2010-04-29	2010-04-29	1
USGS	175756066174500	PIEZOMETER USGS J-21, SALINAS, PR	17.96357770	-66.29544600	S	NAD83	 2.0	1.0	NGVD29	21010004			89.0	90.0	1966-07-15	1966-07-15	1	1966-07-15	1966-07-15	1
USGS	175757066131800	COQUI 4 WELL, SALINAS, PR	17.96385550	-66.22127840	S	NAD83	 8.0	0.5	NGVD29	21010004			168.0	189.0	1961-10-16	1961-10-16	1	--	--	0
USGS	175757066143600	PIEZOMETER PRNE3, SALINAS, PR	17.96377214	-66.24313977	5	NAD83	 27.26	0.1	NGVD29	21010004			23.0	23.0	--	--	0	2010-04-29	2010-04-29	1
USGS	175759066144400	AGUIRRE 2A WELL, SALINAS, PR	17.96441100	-66.24516757	S	NAD83	 16.0	2.5	NGVD29	21010004					1960-10-19	1964-10-20	2	--	--	0
USGS	175801066154700	ESPERANZA 2 BTR WELL, SALINAS, PR	17.96496653	-66.26266780	S	NAD83	 33.0	5.0	NGVD29	21010004										
USGS	175802066182000	CMAR DOMESTIC WELL, SALINAS, PR	17.96524433	-66.30516838	S	NAD83	 3	  3	NGVD29	21010004					1986-03-19	1986-03-19	2	--	--	0
USGS	175804066150700	AGUIRRE 3 WELL, SALINAS, PR	17.96571649	-66.25150099	5	NAD83	 32.12	1.6	NGVD29	21010004	N300STHCST	110SCPL	150.0	150.0	1960-10-18	2015-09-17	9	1961-09-07	2015-10-08	3
USGS	175806066172300	PIEZOMETER USGS J-20, SALINAS, PR	17.96635536	-66.28933480	S	NAD83	 10.0	1.0	NGVD29	21010004			82.0	120.0	1966-07-15	1966-07-15	1	1966-07-15	1966-07-15	1
USGS	175809066145300	AGUIRRE 1A WELL, SALINAS, PR	17.96718865	-66.24766760	S	NAD83	 41.0	0.5	NGVD29	21010004				125.0	1960-10-18	1962-03-28	3	1960-10-18	1960-10-18	1
USGS	175809066164900	PIEZOMETER USGS J-15, SALINAS, PR	17.96718866	-66.27989027	S	NAD83	 15.0	3.0	NGVD29	21010004			72.0	115.0	1966-07-15	1966-07-15	1	--	--	0
USGS	175810066145100	AGUIRRE SUGAR 10 WELL, SALINAS, PR	17.96746640	-66.24711200	S	NAD83	 43.0	0.5	NGVD29	21010004			55.0	200.0	--	--	0	1928-12-15	1928-12-15	1
USGS	175810066145300	AGUIRRE SUGAR 9 WELL, SALINAS, PR	17.96746640	-66.24766760	S	NAD83	 43.0	0.5	NGVD29	21010004			128.0	130.0	--	--	0	1936-09-02	1936-09-02	1
USGS	175810066153500	ESPERANZA 1 BTR WELL, SALINAS, PR	17.96746640	-66.25933440	S	NAD83	 39.0	5.0	NGVD29	21010004					1960-10-19	1960-10-19	1	1926-04	1960-10	34
USGS	175811066150500	AGUIRRE 1B WELL, SALINAS, PR	17.96768862	-66.25222320	5	NAD83	 36.82	1.6	NGVD29	21010004	N300STHCST	110SCPL			--	--	0	1985-08-01	2015-10-07	3
USGS	175812066133200	AGUIRRE COQUI WELL, SALINAS, PR	17.96802198	-66.22516730	S	NAD83	 16	  3	NGVD29	21010004					1986-08-13	2011-06-30	4	--	--	0
USGS	175812066134900	AGUIRRE 6 WELL, SALINAS, PR	17.97043853	-66.23255629	5	NAD83	 30.81	1.6	NGVD29	21010004	N300STHCST	110SCPL			--	--	0	2015-10-05	2015-10-05	1
USGS	175812066154800	TXA WELL, SALINAS, PR	17.96802195	-66.26289000	5	NAD83	 40.35	1.6	NGVD29	21010004										
USGS	175814066155900	ADT MON WELL, SALINAS, PR	17.96849415	-66.26600119	5	NAD83	 41.54	1.6	NGVD29						--	--	0	2015-10-07	2015-10-07	1
USGS	175815066153700	PIO 1 WELL, SALINAS, PR	17.96849415	-66.26033440	5	NAD83	 41.82	1.6	NGVD29	21010004	N300STHCST	110SCPL			--	--	0	2002-07-10	2015-10-09	2
USGS	175815066153701	PIONEER FIRE PUMP WELL, SALINAS, PR	17.96888302	-66.25988999	5	NAD83	 42.65	0.5	NGVD29		N300STHCST	110SCPL			--	--	0	2015-10-09	2015-10-09	1
USGS	175815066154100	SYNG WELL, SALINAS, PR	17.96885524	-66.26094560	5	NAD83	 42.65	1.6	NGVD29	21010004										
USGS	175815066174000	PIEZOMETER USGS J-22, SALINAS, PR	17.96885526	-66.29405710	S	NAD83	 9.0	1.0	NGVD29	21010004			98.0	145.0	--	--	0	1967-06-16	1967-06-16	1
USGS	175816066133100	COQUI 5 WELL, SALINAS, PR	17.96913305	-66.22488950	S	NAD83	 16.0	2.5	NGVD29	21010004			150.0	152.0	--	--	0	1961-06-13	1968-02-06	9
USGS	175816066183200	PMAR WELL, SALINAS, PR	17.96913306	-66.30850170	S	NAD83	 29	  3	NGVD29	21010004				110	1986-08-07	1986-08-07	1	--	--	0
USGS	175817066175400	PIEZOMETER USGS SALINAS, SALINAS, PR	17.96941079	-66.29794600	S	NAD83	 39.0	5.0	NGVD29	21010004					--	--	0	1985-10-21	1985-10-21	1
USGS	175820066144500	AGUIRRE T-2 WELL, SALINAS, PR	17.97024407	-66.24544540	S	NAD83	 48.0	0.5	NGVD29	21010004										
USGS	175820066144800	EL ABEY DOMESTIC WELL, SALINAS, PR	17.97046628	-66.24600090	5	NAD83	 47.94	1.6	NGVD29	21010004	N300STHCST	110SCPL			1986-08-13	1986-08-13	2	2002-07-09	2015-10-09	2
USGS	175821066144600	ABE WELL, SALINAS, PR	17.97052184	-66.24572310	S	NAD83	 48.0	  3	NGVD29	21010004					2002-03-12	2002-03-12	1	1986-02-04	1986-02-04	1
USGS	175821066182100	ANT 1 WELL, SALINAS, PR	17.97052187	-66.30544610	5	NAD83	 11.2	1.6	NGVD29	21010004			48.60	60.0	1960-10-21	1960-10-21	1	1935-06-11	2002-07-09	2
USGS	175822066141900	AVI 1 WELL, SALINAS, PR	17.97091072	-66.23816748	5	NAD83	 43.67	1.6	NGVD29	21010004	N300STHCST	110SCPL	200		--	--	0	2015-10-05	2015-10-05	1
USGS	175822066165400	MAG 5 BTR WELL, SALINAS, PR	17.97079960	-66.28127920	S	NAD83	 23.0	  5	NGVD29	21010004					1964-10-21	1964-10-21	1	--	--	0
USGS	175823066144200	LAN BTR WELL, SALINAS, PR	17.97107737	-66.24461200	S	NAD83	 50.0	2.5	NGVD29	21010004										
USGS	175823066162400	DINC WELL, SALINAS, PR	17.97135514	-66.27322350	5	NAD83	 39.37	1.6	NGVD29	21010004					1986-03-20	1986-03-20	2	2002-07-09	2015-10-15	2
USGS	175823066164600	MAG 3 WELL, SALINAS, PR	17.97110515	-66.27941800	5	NAD83	 26.25	1.6	NGVD29	21010004	N300STHCST	110SCPL		30.0	1960-10-20	2007-04-17	2	2002-07-10	2015-10-08	2
USGS	175823066180500	MAR 4 WELL, SALINAS, PR	17.97107739	-66.30100160	S	NAD83	 12	  1	NGVD29	21010004					1986-08-09	1986-08-09	2	--	--	0
USGS	175823066182200	PIEZOMETER USGS J-24, SALINAS, PR	17.97107740	-66.30572390	S	NAD83	 8.0	  1	NGVD29	21010004			25.0	112.0	1966-07-13	1966-07-13	1	1966-07-13	1966-07-13	1
USGS	175824066142300	PRWRA 1 WELL, SALINAS, PR	17.97157736	-66.23986190	5	NAD83	 44.81	1.6	NGVD29	21010004	N300STHCST	110SCPL	250.0	305.0	1971-02-01	1971-02-01	1	2002-07-09	2015-10-08	2
USGS	175824066163000	ESPERANZA 3 WELL, SALINAS, PR	17.97135514	-66.27461240	S	NAD83	 33.0	  5	NGVD29	21010004					--	--	0	1967-11-03	1967-11-03	1
USGS	175824066175800	PIEZOMETER USGS J-23, SALINAS, PR	17.97135515	-66.29905717	S	NAD83	 10.0	  1	NGVD29	21010004			44.0	122.0	1966-07-13	1966-07-13	1	1966-07-13	1966-07-13	1
USGS	175825066142500	FORTUNA 1CP WELL, SALINAS, PR	17.97163290	-66.23988970	S	NAD83	 44.8	1.6	NGVD29	21010004					1977-03-22	1979-12-12	58	--	--	0
USGS	175825066152500	VEGA WELL, SALINAS, PR	17.97166067	-66.25683440	S	NAD83	 52.04	  5	NGVD29	21010004	N300STHCST	110SCPL			--	--	0	1984-10-29	2015-10-08	2
USGS	175826066134400	COQUI P1A WELL, SALINAS, PR	17.97191069	-66.22850068	S	NAD83				21010004					1981-09-29	1982-06-24	2	--	--	0
USGS	175826066165200	ALAR WELL, SALINAS, PR	17.97193845	-66.28094580	5	NAD83	 28.52	2.9	NGVD29	21010004										
USGS	175826066173700	PIEZOMETER USGS CARMEN, SALINAS, PR	17.97163290	-66.29294598	S	NAD83	 13	  3	NGVD29	21010004					1986-08-08	1986-08-08	2	1985-08-19	1985-08-19	1
USGS	175826066181600	MARGARITA 2 BTR WELL, SALINAS, PR	17.97191069	-66.30405720	S	NAD83	 10.0	  1	NGVD29	21010004					1961-11-01	1964-10-22	3	--	--	0
USGS	175827066141000	AGUIRRE WELL, SALINAS, PR	17.97210512	-66.23586189	5	NAD83	 41	1.6	NGVD29	21010004	N300STHCST	110SCPL			--	--	0	1984-10-23	2015-10-05	3
USGS	175827066151600	CSOL 2 WELL, SALINAS, PR	17.97221620	-66.25408440	5	NAD83	 51.61	1.6	NGVD29	21010004	N300STHCST	110SCPL			--	--	0	2015-10-08	2015-10-08	1
USGS	175827066151601	CSOL 3 WELL, SALINAS, PR	17.97227176	-66.25405658	5	NAD83	 52.08	1.6	NGVD29	21010004	N300STHCST	110SCPL			--	--	0	2015-10-08	2015-10-08	1
USGS	175828066151000	CSOL 4 WELL, SALINAS, PR	17.97260507	-66.25236210	5	NAD83	 53.01	1.6	NGVD29	21010004	N300STHCST	110SCPL			--	--	0	2015-10-08	2015-10-08	1
USGS	175829066141800	PIEZOMETER USGS 13, SALINAS, PR	17.97274398	-66.23794530	S	NAD83	 47.0	  5	NGVD29	21010004					--	--	0	1986-08-06	1986-08-06	1
USGS	175829066145700	GVAL WELL, SALINAS, P.R.	17.97288284	-66.24902870	5	NAD83	 54.08	5.4	NGVD29	21010004										
USGS	175829066163000	TER 1 BTR WELL, SALINAS, PR	17.97274397	-66.27461240	S	NAD83	 33.0	  5	NGVD29	21010004										
USGS	175830066135400	TGLOV 1 WELL, SALINAS, PR	17.97302175	-66.23127850	S	NAD83	 33.0	5.0	NGVD29	21010004			80.0	85.0	--	--	0	1957-10	1957-10	1
USGS	175830066135401	FRUTSI WELL, SALINAS, PR	17.97302175	-66.23127850	S	NAD83	 33.0	  5	NGVD29	21010004										
USGS	175830066152500	CSOL 1 WELL, SALINAS, PR	17.97291060	-66.25650100	5	NAD83	 54.60	1.6	NGVD29	21010004	N300STHCST	110SCPL			--	--	0	2015-10-08	2015-10-08	1
USGS	175833066145800	PIEZOMETER A RASA, SALINAS, PR	17.98829883	-66.24783428	5	NAD83	 89.42	1.6	NGVD29	21010004	N300STHCST	110SCPL		75	1986-03-20	2008-05-14	9	1985-08-28	2019-03-20	269
USGS	175835066162600	AGUIRRE 2B WELL, SALINAS, PR	17.97441056	-66.27350127	S	NAD83	 46.0	  5	NGVD29	21010004			102.0	126.0	--	--	0	1936-05-27	1936-05-27	1
USGS	175836066172800	CAR DOMESTIC WELL, SALINAS, PR	17.97468833	-66.29072370	S	NAD83	 25.0	  5	NGVD29	21010004				120.0	1960-10-20	1964-10-21	4	1960-10-20	1960-10-20	1
USGS	175837066165400	CAR WELL, SALINAS, PR	17.97496609	-66.28127920	S	NAD83	 40	  5	NGVD29	21010004			172.0	173.0	1986-08-08	1988-03-15	2	1961-09-07	2002-07-09	35
USGS	175837066175500	MARGARITA 1 BTR WELL, SALINAS, PR	17.97496610	-66.29822380	S	NAD83	 20.0	  3	NGVD29	21010004				75.0						
USGS	175838066161100	PIEZOMETER E RASA, SALINAS, PR	17.97496609	-66.26905677	S	NAD83	 49	5.0	NGVD29	21010004			57.00	229.00	1986-03-19	1986-03-19	2	1985-08-01	1985-08-01	1
USGS	175839066143300	RGON WELL, SALINAS, PR	17.97552162	-66.24211198	S	NAD83	 57.0	  5	NGVD29	21010004					--	--	0	1986-02-04	1986-02-04	1
USGS	175839066151500	FORTUNA 5 WELL, SALINAS, PR	17.97552160	-66.25377880	S	NAD83	 60	  2	NGVD29	21010004					1977-03-22	1979-12-12	57	--	--	0
USGS	175839066180700	MAR 3 WELL, SALINAS, PR	17.97552164	-66.30155718	S	NAD83	 20.0	  3	NGVD29	21010004			154.0	154.0	1960-10-21	1960-10-21	1	1954-01	1954-01	1
USGS	175840066153700	LAN 3 WELL, SALINAS, PR	17.97579938	-66.25988999	S	NAD83	 54.0	  5	NGVD29	21010004				160.0	--	--	0	1940	1940	1
USGS	175840066181200	CALV BTR WELL, SALINAS, PR	17.97579940	-66.30294608	S	NAD83	 18.0	  3	NGVD29	21010004			57.0	69.0	--	--	0	1942-08-31	1942-08-31	1
USGS	175841066170600	WLGV WELL, SALINAS, P.R.	17.97623270	-66.28465140	5	NAD83	 37.35	3.7	NGVD29	21010004										
USGS	175842066144600	PLATANOS WELL, SALINAS, PR	17.97638269	-66.24580647	5	NAD83	 64.88	1.6	NGVD29		N300STHCST	110SCPL			--	--	0	2015-10-09	2015-10-09	1
USGS	175844066181700	POLEOS 1 BTR WELL, SALINAS, PR	17.97691047	-66.30433498	S	NAD83	 20.0	  3	NGVD29	21010004					1960-10-21	1960-10-21	1	--	--	0
USGS	175845066164500	CCR WELL, SALINAS, PR	17.97710489	-66.27886240	5	NAD83	 43.82	1.6	NGVD29	21010004	N300STHCST	110SCPL	100.0	100.0	2002-03-12	2003-02-21	12	2002-07-09	2015-10-09	2
USGS	175848066142600	WELL, SALINAS, PR	17.97718822	-66.24072307	5	NAD83	 58.1	1.6	NGVD29	21010004					2002-12-10	2002-12-10	1	1986-02-05	2002-07-09	2
USGS	175848066145800	FORTUNA 1 RG WELL, SALINAS, PR	17.97802150	-66.24905650	S	NAD83	 72	  3	NGVD29	21010004					1960-10-19	1986-08-08	4	--	--	0
USGS	175848066163800	MSUA WELL, SALINAS, P.R.	17.97807706	-66.27683460	5	NAD83	 49.21	4.9	NGVD29	21010004										
USGS	175848066170700	PIEZOMETER RASA G SALINAS, PR	17.97804929	-66.28494590	5	NAD83	 40.62	1.6	NGVD29	21010004	N300STHCST	110SCPL	167.0	167.0	2003-04-28	2008-05-14	4	1986-03-17	2015-10-09	164
USGS	175848066190100	PIEZOMETER LAS POZAS 1, SALINAS, PR	17.97802157	-66.31655730	S	NAD83	 3.0	  1	NGVD29	21010004			168.0	170.0	--	--	0	1936-05-08	1936-05-08	1
USGS	175850066154000	ROS 1 BTR WELL, SALINAS, PR	17.97893813	-66.26089000	5	NAD83	 60.16	1.6	NGVD29	21010004	N300STHCST	110SCPL			1960-10-19	1960-10-19	1	2015-10-08	2015-10-08	1
USGS	175851066145700	ADE 1 WELL, SALINAS, PR	17.97885480	-66.24877870	5	NAD83	 72.2	1.6	NGVD29	21010004					--	--	0	1961-09-12	2002-07-11	2
USGS	175851066153000	FORTUNA 4 BTR WELL, SALINAS, PR	17.97854926	-66.25816770	5	NAD83	 60.92	 17	NGVD29	21010004	N300STHCST	110SCPL			1960-10-19	2002-12-05	4	2002-07-10	2002-07-10	1
USGS	175851066155100	FORTUNA 10 WELL, SALINAS, PR	17.97954920	-66.26394559	5	NAD83	 59.06	1.6	NGVD29	21010004	N300STHCST	110SCPL			1960-10-19	1960-10-19	1	1960-10-19	2015-10-08	2
USGS	175851066163000	PROVIDENCIA 1 WELL, SALINAS, PR	17.97885480	-66.27461239	S	NAD83	 52.0	  5	NGVD29	21010004			99.0	119.0	--	--	0	1928-07	1928-07	1
USGS	175852066185300	PIEZOMETER LAS POZAS 3, SALINAS, PR	17.97913262	-66.31433500	S	NAD83	 6.0	  1	NGVD29	21010004			158.0	158.0	--	--	0	1940-03-14	1940-03-14	1
USGS	175852066185500	PIEZOMETER LAS POZAS 2, SALINAS, PR	17.97913262	-66.31489060	S	NAD83	 6.0	  1	NGVD29	21010004			171.0	171.0	--	--	0	1940-03-06	1940-03-06	1
USGS	175854066143100	HACIENDA SABATER 1 WELL, SALINAS, PR	17.97996587	-66.24155640	5	NAD83	 62.3	1.6	NGVD29	21010004					1961-11-01	1962-03-28	2	1961-09-12	2002-07-10	2
USGS	175854066144500	LUCE 21 WELL, SALINAS, PR	17.97996587	-66.24516757	5	NAD83	 73.32	1.6	NGVD29	21010004	N300STHCST	110SCPL			2002-11-22	2011-07-01	4	2002-07-10	2015-10-07	2
USGS	175854066144501	CRIDS 3 WELL, SALINAS, PR	17.97985476	-66.24541758	5	NAD83	 74.14	1.6	NGVD29	21010004	N300STHCST	110SCPL			--	--	0	2015-10-07	2015-10-07	1
USGS	175855066161400	MAG 2 WELL, SALINAS, PR	17.97999364	-66.27050120	5	NAD83	 55.78	1.6	NGVD29	21010004	N300STHCST	110SCPL	88	150.0	1961-11-01	2002-11-21	5	1962-01-31	2015-10-08	2
USGS	175856066144200	CRIDS 1, SALINAS, PR	17.98027140	-66.23980639	5	NAD83	 109.81	 10	NGVD29	21010004	N300STHCST	110SCPL			--	--	0	2015-10-07	2015-10-07	1
USGS	175857066123100	TUMORES A WELL, SALINAS, PR	17.98029924	-66.20869490	5	NAD83	 55.8	1.6	NGVD29	21010004					1986-08-14	1986-08-14	1	2002-07-09	2002-07-09	1
USGS	175857066175000	MUNDO 1 BTR WELL, SALINAS, PR	17.98052140	-66.29683488	S	NAD83	 30.0	  5	NGVD29	21010004										
